patch,offset,limit,count-ms,lookup-mus,results
0,0,-0.002,0.081,0.081,0
1,0,-0.002,0.081,0.08,0
2,0,-0.002,0.081,0.081,0
3,0,-0.002,0.081,0.08,0
4,0,-0.002,0.081,0.081,0
5,0,-0.002,0.081,0.081,0
6,0,-0.002,0.081,0.08,0
7,0,-0.002,0.081,0.08,0
8,0,-0.002,0.081,0.081,0
9,0,-0.002,0.081,0.081,0
10,0,-0.002,0.081,0.081,0
11,0,-0.002,0.081,0.081,0
12,0,-0.002,0.081,0.08,0
13,0,-0.002,0.081,0.08,0
14,0,-0.002,0.081,0.08,0
15,0,-0.002,0.081,0.08,0
16,0,-0.002,0.081,0.081,0
17,0,-0.002,0.081,0.08,0
18,0,-0.002,0.081,0.081,0
19,0,-0.002,0.082,0.081,0
20,0,-0.002,0.081,0.081,0
21,0,-0.002,0.081,0.081,0
22,0,-0.002,0.082,0.08,0
23,0,-0.002,0.081,0.08,0
24,0,-0.002,0.081,0.08,0
25,0,-0.002,0.081,0.08,0
26,0,-0.002,0.081,0.08,0
27,0,-0.002,0.081,0.08,0
28,0,-0.002,0.082,0.081,0
29,0,-0.002,0.082,0.081,0
30,0,-0.002,0.081,0.081,0
31,0,-0.002,0.082,0.081,0
32,0,-0.002,0.082,0.081,0
33,0,-0.002,0.081,0.08,0
34,0,-0.002,0.081,0.079,0
35,0,-0.002,0.08,0.079,0
36,0,-0.002,0.08,0.08,0
37,0,-0.002,0.081,0.08,0
38,0,-0.002,0.08,0.08,0
39,0,-0.002,0.08,0.08,0
40,0,-0.002,0.081,0.08,0
41,0,-0.002,0.08,0.08,0
42,0,-0.002,0.08,0.079,0
43,0,-0.002,0.081,0.08,0
44,0,-0.002,0.006,0.005,0
45,0,-0.002,0.068,0.065,0
46,0,-0.002,0.066,0.065,0
47,0,-0.002,0.066,0.065,0
48,0,-0.002,0.066,0.065,0
49,0,-0.002,0.069,0.066,0
50,0,-0.002,0.067,0.065,0
51,0,-0.002,0.067,0.065,0
52,0,-0.002,0.066,0.065,0
53,0,-0.002,0.066,0.065,0
54,0,-0.002,0.066,0.065,0
55,0,-0.002,0.067,0.066,0.001
56,0,-0.002,0.066,0.065,0.001
57,0,-0.002,0.066,0.065,0.001
58,0,-0.002,0.066,0.065,0.001
59,0,-0.002,0.066,0.065,0.001
60,0,-0.002,0.067,0.065,0.001
61,0,-0.002,0.068,0.065,0.001
62,0,-0.002,0.067,0.065,0.001
63,0,-0.002,0.066,0.065,0.001
64,0,-0.002,0.066,0.065,0.001
65,0,-0.002,0.066,0.065,0.001
66,0,-0.002,0.066,0.065,0.001
67,0,-0.002,0.067,0.065,0.001
68,0,-0.002,0.066,0.065,0.001
69,0,-0.002,0.067,0.065,0.001
70,0,-0.002,0.066,0.065,0.001
71,0,-0.002,0.067,0.065,0.001
72,0,-0.002,0.066,0.065,0.001
73,0,-0.002,0.068,0.065,0.001
74,0,-0.002,0.066,0.065,0.001
75,0,-0.002,0.067,0.065,0.001
76,0,-0.002,0.066,0.065,0.001
77,0,-0.002,0.066,0.065,0.001
78,0,-0.002,0.067,0.065,0.001
79,0,-0.002,0.068,0.065,0.001
80,0,-0.002,0.067,0.065,0.001
81,0,-0.002,0.067,0.065,0.001
82,0,-0.002,0.066,0.065,0.001
83,0,-0.002,0.066,0.066,0.001
84,0,-0.002,0.067,0.067,0.001
85,0,-0.002,0.068,0.065,0.001
86,0,-0.002,0.067,0.065,0.001
87,0,-0.002,0.066,0.065,0.001
88,0,-0.002,0.066,0.065,0.001
